fingerprint	Train type	Model	kappa
ECFP4	Orginal	Random Forest Classifier	0.69
ECFP4	Orginal	Extreme Gradient Boosting	0.64
ECFP4	Orginal	Light Gradient Boosting Machine	0.58
ECFP4	Orginal	Decision Tree Classifier	0.53
ECFP4	Orginal	Logistic Regression	0.43
ECFP4	Orginal	Naive Bayes	0.28
ECFP4	SMOTE	Random Forest Classifier	0.87
ECFP4	SMOTE	Extreme Gradient Boosting	0.77
ECFP4	SMOTE	Decision Tree Classifier	0.76
ECFP4	SMOTE	Light Gradient Boosting Machine	0.72
ECFP4	SMOTE	Logistic Regression	0.56
ECFP4	SMOTE	Naive Bayes	0.34
RDKit	Orginal	Random Forest Classifier	0.7
RDKit	Orginal	Extreme Gradient Boosting	0.69
RDKit	Orginal	Light Gradient Boosting Machine	0.62
RDKit	Orginal	Decision Tree Classifier	0.55
RDKit	Orginal	Logistic Regression	0.46
RDKit	Orginal	Naive Bayes	0.17
RDKit	SMOTE	Random Forest Classifier	0.89
RDKit	SMOTE	Extreme Gradient Boosting	0.84
RDKit	SMOTE	Decision Tree Classifier	0.79
RDKit	SMOTE	Light Gradient Boosting Machine	0.75
RDKit	SMOTE	Logistic Regression	0.55
RDKit	SMOTE	Naive Bayes	0.18
MACCS	Orginal	Random Forest Classifier	0.7
MACCS	Orginal	Extreme Gradient Boosting	0.63
MACCS	Orginal	Decision Tree Classifier	0.6
MACCS	Orginal	Light Gradient Boosting Machine	0.54
MACCS	Orginal	Logistic Regression	0.29
MACCS	Orginal	Naive Bayes	0.11
MACCS	SMOTE	Random Forest Classifier	0.87
MACCS	SMOTE	Decision Tree Classifier	0.8
MACCS	SMOTE	Extreme Gradient Boosting	0.74
MACCS	SMOTE	Light Gradient Boosting Machine	0.67
MACCS	SMOTE	Logistic Regression	0.37
MACCS	SMOTE	Naive Bayes	0.14
MHFP6	Orginal	Extreme Gradient Boosting	0.7
MHFP6	Orginal	Random Forest Classifier	0.69
MHFP6	Orginal	Light Gradient Boosting Machine	0.67
MHFP6	Orginal	Decision Tree Classifier	0.51
MHFP6	Orginal	Logistic Regression	0.47
MHFP6	Orginal	Naive Bayes	0.13
MHFP6	SMOTE	Random Forest Classifier	0.89
MHFP6	SMOTE	Extreme Gradient Boosting	0.86
MHFP6	SMOTE	Light Gradient Boosting Machine	0.81
MHFP6	SMOTE	Decision Tree Classifier	0.73
MHFP6	SMOTE	Logistic Regression	0.61
MHFP6	SMOTE	Naive Bayes	0.16
ErG	Orginal	Random Forest Classifier	0.67
ErG	Orginal	Extreme Gradient Boosting	0.62
ErG	Orginal	Decision Tree Classifier	0.58
ErG	Orginal	Light Gradient Boosting Machine	0.56
ErG	Orginal	Logistic Regression	0.3
ErG	Orginal	Naive Bayes	0.07
ErG	SMOTE	Random Forest Classifier	0.86
ErG	SMOTE	Decision Tree Classifier	0.76
ErG	SMOTE	Extreme Gradient Boosting	0.76
ErG	SMOTE	Light Gradient Boosting Machine	0.7
ErG	SMOTE	Logistic Regression	0.36
ErG	SMOTE	Naive Bayes	0.1
ChemPhys	Orginal	Random Forest Classifier	0.6
ChemPhys	Orginal	Extreme Gradient Boosting	0.51
ChemPhys	Orginal	Decision Tree Classifier	0.48
ChemPhys	Orginal	Light Gradient Boosting Machine	0.45
ChemPhys	Orginal	Logistic Regression	0.11
ChemPhys	Orginal	Naive Bayes	0.06
ChemPhys	SMOTE	Random Forest Classifier	0.76
ChemPhys	SMOTE	Extreme Gradient Boosting	0.62
ChemPhys	SMOTE	Decision Tree Classifier	0.61
ChemPhys	SMOTE	Light Gradient Boosting Machine	0.54
ChemPhys	SMOTE	Logistic Regression	0.26
ChemPhys	SMOTE	Naive Bayes	0.08
